Parlez-vous français? | Do you speak French?
Parcours I | Course I (parcours means 'course, route, journey'.)
phonétique | phonetic
la syllabe | syllable
entraînement | practice, workout, training, coaching
prononcez | pronounce
Entourez dans chaque groupe le mot que vous entendez. | Encircle the word you hear in each group.
Lisez le mots suivants, attention à bien distinguer les différents sons. | Read the following words, pay attention to distinguish the different sounds.
Prononcez les mots suivants et vérifiez selon l'enregistrement. | Pronounce the following words and verify according to the recording.
Écrivez les mots soulignés avec l'alphabet phonétique et séparez les syllabes. | Write the underlined words with the phonetic alphabet and separate the syllables.
vocabulaire | vocabulary
communication | communication
grammaire | grammar
pronoms personnels sujets | subject personal pronouns
verbes et conjugaison | verbs and conjugation
à vous | to you
Saluez vos voisins. Imaginez différents relations pour utiliser différents formules. | Greet your neighbors. Imagine different relationships to use different formulas.
Dites vos nom et prénom à vos voisins. | Tell your neighbors your first and last name.
