森さん　は　毎日　働き　ます。| 小森每天工作。
森さん　は　明日　休み　ます。| 小森明天休息。

森さん　は　今日　働き　ません。| 小森今天不工作。

森さん　は　先週　休み　ました。| 小森上周休息。
森さん　は　昨日　働き　ませんでした。| 小森昨天没上班。

森さん　は　来週　出張　ますか。| 小森下周出差吗？
森さん　は　先週　休み　ましたか。| 小森上周休息吗？

今　何時　ですか。| 现在几点了？
今　９時　です。| 现在9点了。
遅刻　ですね。| 迟到了吧。

森さん　は　７時　に　起き　ます。| 小森7点起床。
学校　は　８時半　に　始まり　ます。| 学校8点开始上课。
学校　は　明日　始まり　ます。| 学校明天开始上课。

私　は　９時から　５時まで　働き　ます。| 我从9点工作到5点。
私　は　９時から　働き　ます。| 我从9点开始工作。
私　は　５時まで　勉強し　ます。| 我学习到5点。

昨日　１２時半ごろ　寝　ました。| 昨晚我12点半左右睡觉。

試験　は　いつ　始まり　ますか。| 什么时间考试？
仕事　は　何時に　終わり　ますか。| 工作几点结束？

展覧会　は　いつから　始まり　ますか。| 展览会什么时候开始？
森さん　は　何曜日まで　休み　ますか。| 小森休息到星期几？
