森さん　は　中国　へ　行き　ます。| 小森去中国。
森さん　は　日本　へ　帰り　ます。| 小森回日本。
森さん　は　どこ　へ　行き　ましたか。| 小森去哪了？

森さん　は　先月　北京　から　来　ました。| 小森上个月从北京来。
あの方　は　どこ　から　来　ましたか。| 那个人是从哪来的？

森さん　は　友達　と　帰り　ました。| 小森和朋友一块回去了。
森さん　は　誰　と　日本　へ　来　ましたか。| 小森和谁一块儿来日本的？

誰　と　美術館　へ　行き　ますか。| 和谁一起去美术馆呢？
友達　と　行き　ます。| 和朋友一起。

私　は　飛行機　で　上海　へ　ます。| 我乘飞机去上海。
私　は　歩い　て　家　へ　帰り　ました。| 我步行回到家。
京都　へ　何　で　来　ましたか。| 你怎么来的京都？

森さん　は　東京から　広島まで　新幹線で　行き　ます。| 小森从东京乘新干线去广岛。
森さん　は　駅から　家まで　歩いて　帰り　ました。| 小森从车站走回到家。

私の　部屋には　電話が　ありません。| 我的房间没有电话。
韓国へは　行き　ました。中国へは　行き　ませんでした。| 我去了韩国。没去中国。

コンサート | concert（音乐会）
クリスマス | Christmas（圣诞节）
フェリー | ferry（摆渡）
バス | bus（公交车）
タクシー | taxi（出租车）
アパート | apartment（公寓）
プール | pool（泳池）
